Name,Season(s),First seen,Last seen,Appeared in,Mentioned in,Titles,Also known as,Status,Age,Date of birth,Death,Origin,Allegiance,Culture,Religion,Family,Portrayed by
"Samwell Tarly
","1, 2, 3, 4, 5","""Cripples, Bastards and Broken Things""","""The Rains of Castamere""""Mhysa"" (corpse)",27 episodes (see below),"""The Wolf and the Lion""""You Win or You Die""""Baelor""",Lord of the DreadfortWarden of the NorthLord Paramount of the NorthLord of Winterfell,SamSer PiggyPrince Pork-chopLady PiggyThe Slayer,Alive,Approx. 22 in Season 5[1],,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""","Horn Hill, The Reach",The Night's WatchHouse Tarly (by birth),Andal,Faith of the SevenOld Gods of the Forest,"Randyll Tarly - father Melessa Florent - mother  Dickon Tarly - younger brother 
Shireen Baratheon - second cousin",John Bradley-West
"Barristan Selmy
","1, 3, 4, 5","""Lord Snow""","""The Rains of Castamere""""Mhysa"" (corpse)",22 episodes (see below),"""A Man Without Honor""",Lord Commander of the Kingsguard (former)Ser,Barristan the Bold,Alive,Approx. 22 in Season 5[1],,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""","Horn Hill, The Reach",QueensguardKingsguard (former)House Selmy (former),Andal,Faith of the SevenOld Gods of the Forest,"Randyll Tarly - father Melessa Florent - mother  Dickon Tarly - younger brother 
Shireen Baratheon - second cousin",Ian McElhinney
"Loras Tyrell
","1, 2, 3, 4, 5","""The Wolf and the Lion""","""The Rains of Castamere""""Mhysa"" (corpse)",15 episodes (see below),"""A Man Without Honor""","Ser
Lord Commander (former)",The Knight of the Flowers,Alive,Approx. 22 in Season 5[1],,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",Highgarden,"House Tyrell
House Baratheon of Storm's End (former)Renly I's Kingsguard (former)",Andal,Faith of the SevenOld Gods of the Forest,Mace Tyrell - fatherAlerie Tyrell - mother{Luthor Tyrell} - grandfatherOlenna Tyrell - grandmotherMargaery Tyrell - sister{Joffrey Baratheon} - brother-in-law{Renly Baratheon} - loverCersei Lannister - betrothedLynesse Hightower - auntJorah Mormont - uncle by marriage,Finn Jones
"Shae
","1, 2, 3, 4","""Baelor""","""The Children""",20 episodes (see below),"""A Man Without Honor""","Ser
Lord Commander (former)",The Knight of the Flowers,Deceased,Approx. 22 in Season 5[1],,"Strangled to death by Tyrion Lannister""The Children""",Lorath,"House Tyrell
House Baratheon of Storm's End (former)Renly I's Kingsguard (former)",Andal,Faith of the SevenOld Gods of the Forest,Mace Tyrell - fatherAlerie Tyrell - mother{Luthor Tyrell} - grandfatherOlenna Tyrell - grandmotherMargaery Tyrell - sister{Joffrey Baratheon} - brother-in-law{Renly Baratheon} - loverCersei Lannister - betrothedLynesse Hightower - auntJorah Mormont - uncle by marriage,Sibel Kekilli
"Gendry
","1, 2, 3","""Cripples, Bastards and Broken Things""","""The Children""",17 episodes (see below),"""A Man Without Honor""","Ser
Lord Commander (former)",The Knight of the Flowers,Alive,Approx. 22 in Season 5[1],,"Strangled to death by Tyrion Lannister""The Children""",King's Landing,"House Tyrell
House Baratheon of Storm's End (former)Renly I's Kingsguard (former)",Andal,Faith of the SevenOld Gods of the Forest,King {Robert Baratheon} - father{Unnamed barmaid} - mother{Barra} - half-sisterStannis Baratheon - uncle{Renly Baratheon} - uncleShireen Baratheon - first cousin,Joe Dempsie
"Talisa Stark
","2, 3","""Garden of Bones""","""The Rains of Castamere""",11 episodes (see below),"""A Man Without Honor""",Queen,The Knight of the Flowers,Deceased,Approx. 22 in Season 5[1],,"Stabbed repeatedly by Lothar Frey""The Rains of Castamere""",Volantis,House StarkMaegyr family,Andal,Faith of the SevenOld Gods of the Forest,{Robb Stark} - husbandUnnamed fatherUnnamed motherUnnamed brother{Eddard Stark} - father-in-law{Catelyn Tully} - mother-in-lawSansa Stark - sister-in-lawBrandon Stark - brother-in-lawRickon Stark - brother-in-lawArya Stark - sister-in-lawJon Snow - bastard half-brother-in-lawEdmure Tully - uncle by marriage,Oona Chaplin
"Ramsay Bolton
","3, 4, 5","""Dark Wings, Dark Words""","""The Rains of Castamere""",9 episodes (see below),"""A Man Without Honor""",Heir to the North,Ramsay Snow (formerly)The Bastard of Bolton,Alive,Approx. 22 in Season 5[1],,"Stabbed repeatedly by Lothar Frey""The Rains of Castamere""",Volantis,House Bolton,Northmen,Old Gods of the Forest,Roose Bolton - fatherUnnamed mother{Domeric Bolton} - half-brotherWalda Bolton - stepmother,Iwan Rheon
"Catelyn Stark
","1, 2, 3","""Winter is Coming""","""The Rains of Castamere""",25 episodes (see below),"""A Man Without Honor""",Heir to the North,Ramsay Snow (formerly)The Bastard of Bolton,Deceased,Approx. 22 in Season 5[1],,"Throat slit by Black Walder Rivers""The Rains of Castamere""",Riverrun,House Stark - by marriageHouse Tully - by birth,Andal,Faith of the Seven,"{Hoster Tully} - father{Minisa Tully} - motherBrynden Tully - uncle{Lysa Tully} - sister{Jon Arryn} - brother-in-lawRobin Arryn - nephewPetyr Baelish - brother-in-lawEdmure Tully - brotherRoslin Frey - sister-in-law{Eddard Stark} - husband{Rickard Stark} - father-in-law{Brandon Stark} - brother-in-law, formerly betrothed{Lyanna Stark} - sister-in-lawBenjen Stark - brother-in-law{Robb Stark} - sonSansa Stark - daughterArya Stark - daughterBran Stark - sonRickon Stark - son{Talisa Maegyr} - daughter-in-lawTyrion Lannister - son-in-law",Michelle Fairley
"Walder Frey
","1, 3","""Baelor""","""The Rains of Castamere""",3 episodes (see below),"""Cripples, Bastards and Broken Things""""Valar Morghulis""""Kissed by Fire""""The Climb""""First of His Name""",Lord of the CrossingLord of RiverrunLord Paramount of the Trident,The Late Lord FreyThe Late Walder Frey,Alive,94 in Season 5[1],,"Throat slit by Black Walder Rivers""The Rains of Castamere""",The Twins,House Frey,Andal,Faith of the Seven,"{Joyeuse Erenford} - wifeStevron Frey - eldest trueborn sonWalder Rivers - bastard sonRyger Rivers - bastard sonLothar Frey - son Olyvar Frey - sonWaldron Frey - sonArwaya Frey - eldest daughterWalda Frey - daughterDerwa Frey - daughterWaldra Frey - daughterRoslin Frey - daughterShirei Frey - daughter""Fat Walda"" Frey - granddaughterJaneya Frey - granddaughterNeyela Frey - granddaughterSerra Frey - granddaughterSarra Frey - granddaughterMarianne Frey - granddaughterFreya Frey - granddaughterMerry Frey - granddaughterWalda Frey - great-nieceOther trueborn children far too numerous to mentionPossibly dozens of acknowledged bastards",David Bradley
"Oberyn Martell
",4,"""Two Swords""","""The Mountain and the Viper""",7 episodes (see below),"""Cripples, Bastards and Broken Things""""Valar Morghulis""""Kissed by Fire""""The Climb""""First of His Name""",Prince,The Red Viper of Dorne,Deceased,94 in Season 5[1],,"Skull crushed by Ser Gregor Clegane(""The Mountain and the Viper"")",Sunspear,House MartellSecond Sons (formerly)The Citadel (formerly),Dornishmen,Faith of the Seven (presumed),Doran Martell - brother{Elia Martell} - sisterTrystane Martell - nephewEllaria Sand - paramourObara Sand -  daughterNymeria Sand - daughterTyene Sand - daughterSarella Sand - daughterElia Sand - daughterObella Sand - daughterDorea Sand - daughterLoreza Sand - daughter{Rhaegar Targaryen} - brother-in-law{Rhaenys Targaryen} - niece{Aegon Targaryen} - nephew{Lewyn Martell} - uncle,Pedro Pascal
